순위,title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,가격_포맷,쇼핑몰
1,[헬베이프] 젤로 맥스 에디션 전자담배 액상형 입호흡 CSV 전담 팟 디바이스 JELLO,https://smartstore.naver.com/main/products/10543618814,https://shopping-phinf.pstatic.net/main_8808812/88088124297.jpg,65000,,전자담배팩토리,88088124297,2,JELLO,,생활/건강,건강관리용품,전자담배,,"65,000원",전자담배팩토리
2,말론 입호흡 전자담배 액상 기기 CSV 액상형 전담 기계 킷 MALONE,https://smartstore.naver.com/main/products/11359324744,https://shopping-phinf.pstatic.net/main_8890383/88903835095.2.jpg,72000,,Malone.,88903835095,2,마를론,,생활/건강,건강관리용품,전자담배,,"72,000원",Malone.
3,유웰 발라리안 맥스프로 팟 입호흡 전자담배 액상 기계 액상형 csv 전담 기기 킷 용트림,https://smartstore.naver.com/main/products/11267034351,https://shopping-phinf.pstatic.net/main_8881154/88811544682.jpg,78000,,용트림,88811544682,2,,,생활/건강,건강관리용품,전자담배,,"78,000원",용트림
4,아스몬 오리지널 에디션 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV ASMON,https://smartstore.naver.com/main/products/7428544716,https://shopping-phinf.pstatic.net/main_8497304/84973045038.5.jpg,55000,,몬스터즈 팩토리,84973045038,2,아스몬,,생활/건강,건강관리용품,전자담배,,"55,000원",몬스터즈 팩토리
5,저스트포그 글렌트 킷 입호흡 액상 GLENT 전자담배 전담 기계 기기 팟 파드 액상 CSV,https://smartstore.naver.com/main/products/10362329582,https://shopping-phinf.pstatic.net/main_8790683/87906834243.3.jpg,49000,,저스트포그공식몰,87906834243,2,저스트포그,,생활/건강,건강관리용품,전자담배,,"49,000원",저스트포그공식몰
6,유웰 발라리안 에어 베이직 세트 입호흡 전자담배 기기 액상 전담 기계 액상형 CSV 킷,https://smartstore.naver.com/main/products/10269273775,https://shopping-phinf.pstatic.net/main_8781377/87813777577.9.jpg,55000,,용트림,87813777577,2,,,생활/건강,건강관리용품,전자담배,,"55,000원",용트림
7,부푸 브이메이트 맥스 전자담배 액상형 입호흡 전담 기기 기계 브이쓰루 프로 팟 호환,https://smartstore.naver.com/main/products/10635170652,https://shopping-phinf.pstatic.net/main_8817967/88179676462.1.jpg,55000,,프로키베이프,88179676462,2,부푸,,생활/건강,건강관리용품,전자담배,,"55,000원",프로키베이프
8,유웰 하복 SE 알로에베라 입호흡 전자담배 액상 csv 기계 전담 기기 액상형 킷 하보크,https://smartstore.naver.com/main/products/9165959184,https://shopping-phinf.pstatic.net/main_8671045/86710459507.5.jpg,75000,,용트림,86710459507,2,유웰,,생활/건강,건강관리용품,전자담배,,"75,000원",용트림
9,헬베이프 젤로 맥스 블랙 입호흡 csv 액상 전자담배 킷 입문 전담 기계 액상형 팟 기기,https://smartstore.naver.com/main/products/9918494745,https://shopping-phinf.pstatic.net/main_8746299/87462997018.1.jpg,65000,,디어베이프,87462997018,2,JELLO,,생활/건강,건강관리용품,전자담배,,"65,000원",디어베이프
10,쥬스박스 일회용 전자담배 쥬스틱 울트라 플러스 자몽 BIG 대용량 편의점 전담 무니코틴,https://smartstore.naver.com/main/products/9353826746,https://shopping-phinf.pstatic.net/main_8689832/86898327069.jpg,19000,,쥬스박스,86898327069,2,쥬스틱,,생활/건강,건강관리용품,전자담배,,"19,000원",쥬스박스
