자치구명,시설구분,주소,위도,경도
관악구,에이치플러스양지병원 옥상,서울특별시 관악구 남부순환로 1636,37.484369,126.932566
관악구,롯데백화점 관악점 건물뒷편,서울특별시 관악구 봉천로 209,37.490495,126.924982
관악구,관악구청 2층 테라스,서울특별시 관악구 관악로 145,37.478211,126.951501
관악구,관악구청 9층 옥상,서울특별시 관악구 관악로 145,37.478211,126.951501
관악구,관악구의회 6층 옥상,서울특별시 관악구 관악로 145,37.478211,126.951501
관악구,관악구 보건소 6층 옥상,서울특별시 관악구 관악로 145,37.478211,126.951501
관악구,싱글벙글센터 뒷편,서울특별시 관악구 남부순환로234길 73,37.476096,126.956288
관악구,관악문화관도서관,서울특별시 관악구 관악구 신림로3길 35,37.467553,126.944962
관악구,강남고려병원 주차장,서울특별시 관악구 관악로 242,37.485619,126.956782
관악구,타임스트림 옥상,서울특별시 관악구 신림로 330 ,37.483851,126.930235
관악구,krtc 옥상,서울특별시 관악구 승방4길 14,37.474338,126.980798
관악구,르네상스쇼핑몰,서울특별시 관악구 신림로 340,37.484763,126.930097
마포구,나인브릭,서울특별시 마포구 홍익로5길 32 나인브릭 호텔,37.553782,126.920571
마포구,로이넷 호텔 서울 마포,서울특별시 마포구 마포대로 67,37.541829,126.948306
마포구,신라스테이 마포,서울특별시 마포구 마포대로 83,37.542854,126.949718
마포구,㈜호텔롯데 롯데시티 ,서울특별시 마포구 마포대로 109,37.545069,126.950848
마포구,마포농수산물시장,서울 마포구 월드컵로 235,37.565199,126.898483
마포구,태화 샘솟는집,서울 마포구 마포대로 173-20 태화샘솟는집,37.549902,126.954456
마포구,서부운전면허시험장,서울 마포구 월드컵로42길 13,37.578758,126.880806
마포구,제노피시방(동교점),서울 마포구 동교로27길 12 지하1층,37.558876,126.922876
마포구,호텔 나루,서울특별시 마포구 마포대로 8 호텔 나루 서울 엠갤러리,37.537307,126.944273
마포구,쓰리팝 PC CAFE,서울특별시 마포구 양화로3길 6 지하1층 쓰리팝PC방,37.549225,126.911872
